Wolfgang_Frank	Wolfgang_Frank_1
Wolfgang_Frank	Wolfgang_Frank_2
Wolfgang_Frank	Wolfgang_Frank_0
Friedrich_Hayek	Friedrich_Hayek_0
Friedrich_Hayek	Friedrich_Hayek_1
Maksym_Levytskyi	Maksym_Levytskyi_1
Maksym_Levytskyi	Maksym_Levytskyi_2
Maksym_Levytskyi	Maksym_Levytskyi_0
Paul_Baker	Paul_Baker_0
Paul_Baker	Paul_Baker_1
Tommy_Wright_(footballer,_born_1984)	Tommy_Wright_(footballer,_born_1984)_1
Tommy_Wright_(footballer,_born_1984)	Tommy_Wright_(footballer,_born_1984)_0
Tommy_Wright_(footballer,_born_1984)	Tommy_Wright_(footballer,_born_1984)_2
Bobby_Weale	Bobby_Weale_0
Bobby_Weale	Bobby_Weale_1
Marvin_Minsky	Marvin_Minsky_0
Marvin_Minsky	Marvin_Minsky_1
G._K._Chesterton	G._K._Chesterton_0
G._K._Chesterton	G._K._Chesterton_1
Syria	Syria_0
Syria	Syria_1
Ricky_Gervais	Ricky_Gervais_2
Ricky_Gervais	Ricky_Gervais_1
Ricky_Gervais	Ricky_Gervais_0
Ernest_Rutherford	Ernest_Rutherford_0
Ernest_Rutherford	Ernest_Rutherford_2
Ernest_Rutherford	Ernest_Rutherford_1
Ernest_Rutherford	Ernest_Rutherford_3
Quentin_Tarantino	Quentin_Tarantino_2
Quentin_Tarantino	Quentin_Tarantino_0
Quentin_Tarantino	Quentin_Tarantino_1
Quentin_Tarantino	Quentin_Tarantino_3
Javier_Marías	Javier_Marías_1
Javier_Marías	Javier_Marías_0
Belfast	Belfast_0
Belfast	Belfast_1
Steve_Jones_(Northern_Irish_footballer)	Steve_Jones_(Northern_Irish_footballer)_0
Steve_Jones_(Northern_Irish_footballer)	Steve_Jones_(Northern_Irish_footballer)_1
Mário_Soares	Mário_Soares_0
Mário_Soares	Mário_Soares_1
John_Paintsil	John_Paintsil_0
John_Paintsil	John_Paintsil_1
John_Paintsil	John_Paintsil_3
John_Paintsil	John_Paintsil_2
John_Paintsil	John_Paintsil_4
Marek_Motyka	Marek_Motyka_0
Marek_Motyka	Marek_Motyka_1
Efan_Ekoku	Efan_Ekoku_1
Efan_Ekoku	Efan_Ekoku_2
Efan_Ekoku	Efan_Ekoku_0
Mvondo_Atangana	Mvondo_Atangana_1
Mvondo_Atangana	Mvondo_Atangana_0
Mvondo_Atangana	Mvondo_Atangana_2
Oleg_Dolmatov	Oleg_Dolmatov_0
Oleg_Dolmatov	Oleg_Dolmatov_1
Tyra_Banks	Tyra_Banks_3
Tyra_Banks	Tyra_Banks_0
Tyra_Banks	Tyra_Banks_1
Tyra_Banks	Tyra_Banks_2
Tyra_Banks	Tyra_Banks_4
French_language	French_language_0
French_language	French_language_1
Steven_Caldwell	Steven_Caldwell_0
Steven_Caldwell	Steven_Caldwell_1
Daigo_Kobayashi	Daigo_Kobayashi_0
Daigo_Kobayashi	Daigo_Kobayashi_1
Edward_Burns	Edward_Burns_1
Edward_Burns	Edward_Burns_0
Edward_Burns	Edward_Burns_2
Rainer_Maria_Rilke	Rainer_Maria_Rilke_0
Rainer_Maria_Rilke	Rainer_Maria_Rilke_1
Tony_Bennett	Tony_Bennett_2
Tony_Bennett	Tony_Bennett_1
